"tic","invest"
"SUIC",1002.00400801603
"SUNS",1002.00400801603
"SUPN",1002.00400801603
"SVROF",1002.00400801603
"SVRZF",1002.00400801603
"SVVC",1002.00400801603
"SVVZF",1002.00400801603
"SWFT",1002.00400801603
"SXC",1002.00400801603
"SYIFF",1002.00400801603
"SYNC",1002.00400801603
"SYT",1002.00400801603
"TAHO",1002.00400801603
"TAKRF",1002.00400801603
"TAL",1002.00400801603
"TAX",1002.00400801603
"TBNK",1002.00400801603
"TCKKF",1002.00400801603
"TCNGF",1002.00400801603
"TCRD",1002.00400801603
"TDNT",1002.00400801603
"TDRRF",1002.00400801603
"TELNY",1002.00400801603
"TETAA",1002.00400801603
"TETHF",1002.00400801603
"TGCDF",1002.00400801603
"TGF.UN",1002.00400801603
"THR",1002.00400801603
"TIER",1002.00400801603
"TIMGF",1002.00400801603
"TIN.",1002.00400801603
"TITXF",1002.00400801603
"TLSNY",1002.00400801603
"TLSYY",1002.00400801603
"TLYS",1002.00400801603
"TMICY",1002.00400801603
"TNAV",1002.00400801603
"TNEYF",1002.00400801603
"TNXP",1002.00400801603
"TOMZ",1002.00400801603
"TOWR",1002.00400801603
"TPCA",1002.00400801603
"TPH",1002.00400801603
"TPRFF",1002.00400801603
"TRCH",1002.00400801603
"TREE",1002.00400801603
"TRGP",1002.00400801603
"TRIP",1002.00400801603
"TRLPF",1002.00400801603
"TRMLF",1002.00400801603
"TRNO",1002.00400801603
"TRRGF",1002.00400801603
"TRXXF",1002.00400801603
"TSE",1002.00400801603
"TSG",1002.00400801603
"TSGZF",1002.00400801603
"TSLA",1002.00400801603
"TSM",1002.00400801603
"TSRMF",1002.00400801603
"TSU",1002.00400801603
"TWO",1002.00400801603
"TWY.",1002.00400801603
"TXMD",1002.00400801603
"UAN",1002.00400801603
"UBIA",1002.00400801603
"UBNT",1002.00400801603
"UCTT",1002.00400801603
"UMC",1002.00400801603
"URANF",1002.00400801603
"URPTF",1002.00400801603
"USCFF",1002.00400801603
"USEL",1002.00400801603
"V",1002.00400801603
"VAC",1002.00400801603
"VALE",1002.00400801603
"VBIO",1002.00400801603
"VCO",1002.00400801603
"VCRA",1002.00400801603
"VDOMF",1002.00400801603
"VDTAF",1002.00400801603
"VEDL",1002.00400801603
"VEOEY",1002.00400801603
"VER",1002.00400801603
"VICA",1002.00400801603
"VIV",1002.00400801603
"VLRS",1002.00400801603
"VLTC",1002.00400801603
"VNET",1002.00400801603
"VOC",1002.00400801603
"VPG",1002.00400801603
"VPY.",1002.00400801603
"VRA",1002.00400801603
"VRS",1002.00400801603
"VRSEF",1002.00400801603
"VRSK",1002.00400801603
"VSTM",1002.00400801603
"VTGN",1002.00400801603
"VTNR",1002.00400801603
"VUZI",1002.00400801603
"VYCO",1002.00400801603
"WAC",1002.00400801603
"WAGE",1002.00400801603
"WAIR",1002.00400801603
"WBKC",1002.00400801603
"WCG",1002.00400801603
"WD",1002.00400801603
"WEBK",1002.00400801603
"WENTF",1002.00400801603
"WES",1002.00400801603
"WF",1002.00400801603
"WHHT",1002.00400801603
"WHLR",1002.00400801603
"WHTGF",1002.00400801603
"WIFI",1002.00400801603
"WIT",1002.00400801603
"WKHS",1002.00400801603
"WKLDF",1002.00400801603
"WLTNF",1002.00400801603
"WMC",1002.00400801603
